section,url,pub_date,headline,headline_len,word_count,num_links,num_images,num_ads_est,images
politics,https://www.thebaltimorebanner.com/politics-power/local-government/baltimore-lawsuit-covid-aid-NFRWCIJ5R5AZZA5Y5TTIZFDVBY/,2025-04-25T05:30:00,The COVID grant was supposed to help the community. Instead they bought property.,13,653,4,0,4,[]
politics,https://www.thebaltimorebanner.com/politics-power/local-government/eastern-shore-salmon-indoor-farm-aquacon-G5IEJK7EQVBD5DHWGTRJ5N5PCY/,2025-04-25T05:30:00,Norwegian company’s second try at indoor salmon farm draws more environmental blowback,12,787,8,0,5,[]
politics,https://www.thebaltimorebanner.com/politics-power/local-government/environmental-group-withdraws-lawsuit-over-pollution-concerns-at-wwii-aircraft-plant-647RR4UVNFA5HFN4TXMXFLDVU4/,2025-04-24T11:00:00,Groups drop suit over pollution worries at redevelopment of WWII bomber plant in Middle River,15,783,3,0,5,[]
politics,https://www.thebaltimorebanner.com/politics-power/national-politics/judge-bars-trump-administration-from-denying-federal-funds-TUDTRL66TZHBZMURONG57HUOQY/,2025-04-24T14:17:00,Judge bars Trump from denying federal funds to ‘sanctuary’ cities that limit immigration cooperation,14,425,8,0,3,[]
politics,https://www.thebaltimorebanner.com/politics-power/national-politics/kash-patel-wisconsin-judge-IZ52UIQSOZHXXPTWH3ZQZAWZA4/,2025-04-25T11:11:00,FBI director says a judge accused of helping someone evade immigration agents has been arrested,15,380,1,0,3,[]
politics,https://www.thebaltimorebanner.com/politics-power/national-politics/van-hollen-abrego-garcia-democrats-YVSTDUBEIZGARD6TYQ263KQHX4/,2025-04-23T05:30:00,Maryland Sen. Chris Van Hollen stepped up to Trump — and into the national spotlight,15,1289,6,5,7,"[{""src"": ""//www.thebaltimorebanner.com/resizer/v2/4LNN7TSZFNDHFN3ROLIOGU5QHA.jpg?auth=fd8c6106aefc222a6905302e9be048f39673d9a724350c1e2c790b4b6d76a50b&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}, {""src"": ""//www.thebaltimorebanner.com/resizer/v2/Y3YJMZKRIFFM7IVJXXF7TP6GD4.jpg?auth=6ae1ed6c331aad7d32fa8211eb6e4262bcf222e3b20a9bfd0e536924b813c1c6&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}, {""src"": ""//www.thebaltimorebanner.com/resizer/v2/RLWX4D6G7JAQPF2NJAC4TVHVXY.jpg?auth=2fbd452af0ce3f973ca77a6f3ac439b4f0f18e9e277aefa66589f7cc18fba8bc&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}, {""src"": ""//www.thebaltimorebanner.com/resizer/v2/KKT7MW4Z5ZFCRO6CVUTO7CRA34.JPG?auth=c70b9356dd906a761912ad23b51ab12a91b0c8522d7ea6ca0243ebd34cd2f124&quality=85&width=1024&focal=3145,3094"", ""width"": null, ""height"": null}, {""src"": ""//www.thebaltimorebanner.com/resizer/v2/5VRPVRHTMFBB3HIVX7GDTH34DI.jpg?auth=86471a44333a4a814eb69c9d9ebd2cb521d20340b031cbac78e4558de2d7028c&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}]"
politics,https://www.thebaltimorebanner.com/politics-power/social-justice/ivan-mendez-abrego-garcia-T5VNIS7IPNBCHEBGEXF5DBSDCE/,2025-04-23T17:37:00,Detective who helped label Kilmar Abrego Garcia a gang member had trouble of his own,15,1345,2,1,7,"[{""src"": ""//www.thebaltimorebanner.com/resizer/v2/4LNN7TSZFNDHFN3ROLIOGU5QHA.jpg?auth=fd8c6106aefc222a6905302e9be048f39673d9a724350c1e2c790b4b6d76a50b&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}]"
politics,https://www.thebaltimorebanner.com/politics-power/social-justice/second-maryland-man-wrongfully-deported-el-salvador-U4NF7LTELFHWXGNNW3Q2C3YZOA/,2025-04-24T15:25:00,Second man deported to El Salvador last month in violation of Maryland court order,14,347,3,0,2,[]
business,https://www.thebaltimorebanner.com/economy/growth-development/baltimore-harborplace-whats-next-MVEV7BABTBF77KNEMPJH33OWMA/,2024-11-06T14:52:00,Why the fight over Baltimore’s Inner Harbor could drag on for years,12,432,4,1,3,"[{""src"": ""//www.thebaltimorebanner.com/resizer/v2/LQAKIUHGFBCSRNXOA5R7QBA2EY.jpg?auth=2cfe1517a5279d2354e463c07f2cef376640a88a904db9f1c4315bc64fe0613b&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}]"
business,https://www.thebaltimorebanner.com/economy/growth-development/harborplace-pavilions-historic-preservation-Z4WPWEHQEVB7NGM74CVDNTUHJU/,2024-11-08T05:30:00,"Iconic, but Gen X: Are Harborplace’s pavilions worth a preservation fight?",11,985,10,1,6,"[{""src"": ""//www.thebaltimorebanner.com/resizer/v2/RVZFEAKZYVAN7KOQUL5JGRXI5Y.jpg?auth=addf817af2a868d25b81c2948c8ebbe0c958f5d112ee90e65f9e673e80eae4f7&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}]"
business,https://www.thebaltimorebanner.com/economy/growth-development/tradepoint-atlantic-howard-county-jobs-HK4TFGOHCRFUBEL3K33WIJOPGU/,2025-04-24T14:14:00,Tradepoint Atlantic resurrected Sparrows Point. Now it’s expanding into Howard County.,11,475,0,1,3,"[{""src"": ""//www.thebaltimorebanner.com/resizer/v2/UUY6YL2FNNF3ZN6NB7KPPNTKQ4.jpg?auth=b370a07cb0c2a6bd7e5845aaa45c88b9592ca656bd0a38750b8fe79781c40409&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}]"
